severity,category,file,line,issue,recommendation
MEDIUM,Forms & Accessibility,templates\page1.html,235,"input control #so_no has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,235,Placeholder-only field: '42219'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,247,"input control #work_order_no has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,247,Placeholder-only field: '1001'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,261,"input control #customer_name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,261,Placeholder-only field: 'Enter customer name'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,281,"input control #delivery_date has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,287,"input control #so_date has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,291,"input control #job_card_date has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,297,"input control #work_order_date has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,301,"input control #remarks has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,301,Placeholder-only field: 'Optional remarks'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,315,"input control #parent_code has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,315,Placeholder-only field: 'Enter parent code'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,327,"input control #child-search has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,327,Placeholder-only field: 'Filter child codes...'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,347,"input control #select-all-cb has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,374,"input control #child_code_manual has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,374,Placeholder-only field: 'Enter child code'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,393,"input control #job_card_no has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,393,Placeholder-only field: 'e.g. 108553'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,401,"input control #item_name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,401,Placeholder-only field: 'Type to search item...'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,417,"input control #item_qty has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,417,Placeholder-only field: 'Enter qty'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,421,"input control #advance_stock has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page1.html,421,Placeholder-only field: 'Enter advance stock'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page1.html,466,"input control #is_priority has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,474,"input control #af_material has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,478,"input control #af_size has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,482,"input control #af_part_name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page1.html,598,"input control #upload-file-input has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Buttons & Accessibility,templates\page1.html,590,Button has no visible or accessible name.,"Add visible text, aria-label or title so the action is understandable."
MEDIUM,Design Consistency,templates\page1.html,1,40 inline style attributes found.,Move repeated visual rules into shared CSS classes/design tokens to simplify the redesign.
MEDIUM,Forms & Accessibility,templates\page2.html,1394,"input control #pm-search has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page2.html,1394,"Placeholder-only field: 'Search BOM No, item code, description...'.",Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page2.html,1529,"input control #add-item-code has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page2.html,1529,Placeholder-only field: 'e.g. NAINR0001234'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page2.html,1533,"input control #add-item-desc has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page2.html,1533,Placeholder-only field: 'e.g. Inner Race of NHB 40'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page2.html,1548,"input control #add-item-size has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page2.html,1548,Placeholder-only field: 'e.g. 42x125x35'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page2.html,1552,"input control #add-item-material has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page2.html,1552,Placeholder-only field: 'e.g. EN9'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page2.html,1556,"input control #add-item-part has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page2.html,1556,Placeholder-only field: 'e.g. Inner Race'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page2.html,1593,"input control #edit-item-code has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page2.html,1597,"input control #edit-item-desc has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page2.html,1617,"input control #edit-item-material has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page2.html,1621,"input control #edit-item-size has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page2.html,1625,"input control #edit-item-part has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page2.html,1647,"textarea control #edit-change-remark has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page2.html,1647,Placeholder-only field: 'Enter why this item or process routing is being changed'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page2.html,1745,"input control #upload-file-input has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Design Consistency,templates\page2.html,1,26 inline style attributes found.,Move repeated visual rules into shared CSS classes/design tokens to simplify the redesign.
MEDIUM,Forms & Accessibility,templates\page3.html,21,"input control #jc-input has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page3.html,21,Placeholder-only field: 'e.g. 108553 or 108554/108701'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page3.html,105,"input control #modal-planned-qty has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page3.html,115,"input control #modal-actual-qty has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page3.html,225,"textarea control #modal-stage-remark has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page3.html,225,Placeholder-only field: 'Enter remark for this stage change...'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page3.html,269,"input control #subcontract-checkbox has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page3.html,292,"input control #modal-vendor-name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page3.html,292,Placeholder-only field: 'Enter vendor / subcontractor name'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page3.html,333,"input control #modal-lead-days has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page3.html,333,Placeholder-only field: 'e.g. 5'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page3.html,546,"textarea control #child-c-gate-override-reason has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page3.html,546,Placeholder-only field: 'Enter reason for allowing this Job Card to continue...'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Design Consistency,templates\page3.html,1,65 inline style attributes found.,Move repeated visual rules into shared CSS classes/design tokens to simplify the redesign.
MEDIUM,Design Consistency,templates\page4.html,1,26 inline style attributes found.,Move repeated visual rules into shared CSS classes/design tokens to simplify the redesign.
MEDIUM,Forms & Accessibility,templates\page5.html,104,"input control #global-search has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page5.html,104,Placeholder-only field: 'Search job cards...'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page5.html,177,"input control #ws-from-date has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,200,"input control #ws-to-date has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,305,"textarea control #dd-reason-input has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page5.html,305,Placeholder-only field: 'Enter reason for changing delivery date...'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page5.html,356,"input control #modal-planned-qty has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,360,"input control #modal-actual-qty has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,398,"textarea control #modal-stage-remark has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page5.html,398,Placeholder-only field: 'Enter remark for this stage change...'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page5.html,402,"input control #subcontract-checkbox has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,410,"input control #modal-vendor-name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page5.html,410,Placeholder-only field: 'Enter vendor / subcontractor name'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page5.html,417,"input control #modal-lead-days has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\page5.html,417,Placeholder-only field: 'e.g. 5'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\page5.html,464,"input control #ejc-job-card-no has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,468,"input control #ejc-so-no has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,472,"input control #ejc-customer-name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,476,"input control #ejc-parent-code has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,480,"input control #ejc-child-code has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,484,"input control #ejc-work-order-no has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,488,"input control #ejc-item-name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,492,"input control #ejc-material has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,497,"input control #ejc-so-qty has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,501,"input control #ejc-actual-qty has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,506,"input control #ejc-delivery-date has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,510,"textarea control #ejc-remarks has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,514,"input control #ejc-is-subcontract has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Forms & Accessibility,templates\page5.html,520,"input control #ejc-vendor-name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Buttons & Accessibility,templates\page5.html,110,Button has no visible or accessible name.,"Add visible text, aria-label or title so the action is understandable."
MEDIUM,Design Consistency,templates\page5.html,1,97 inline style attributes found.,Move repeated visual rules into shared CSS classes/design tokens to simplify the redesign.
MEDIUM,Design Consistency,templates\supervisor_dashboard.html,1,5 inline style attributes found.,Move repeated visual rules into shared CSS classes/design tokens to simplify the redesign.
MEDIUM,Forms & Accessibility,templates\user_management.html,52,"input control #u-username has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\user_management.html,52,Placeholder-only field: 'e.g. jdoe'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\user_management.html,61,"input control #u-password has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\user_management.html,61,Placeholder-only field: 'Minimum 6 characters'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Forms & Accessibility,templates\user_management.html,70,"input control #u-full-name has no explicit label, aria-label or title.","Add a persistent field label. Placeholder text should be supporting guidance, not the only field identity."
MEDIUM,Placeholder UX,templates\user_management.html,70,Placeholder-only field: 'e.g. John Doe'.,Use a visible label above/alongside the field and keep placeholder only as an example or hint.
MEDIUM,Buttons & Accessibility,templates\user_management.html,43,Button has no visible or accessible name.,"Add visible text, aria-label or title so the action is understandable."
MEDIUM,Buttons & Accessibility,templates\user_management.html,102,Button has no visible or accessible name.,"Add visible text, aria-label or title so the action is understandable."
MEDIUM,Buttons & Accessibility,templates\user_management.html,190,Button has no visible or accessible name.,"Add visible text, aria-label or title so the action is understandable."
MEDIUM,Visual Consistency,static\css\admin_dashboard.css,1,37 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\admin_dashboard.css,1,4 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,Visual Consistency,static\css\base.css,1,53 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\base.css,1,10 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,Visual Consistency,static\css\jc_review.css,1,66 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\jc_review.css,1,12 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,Visual Consistency,static\css\operator_dashboard.css,1,31 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\operator_dashboard.css,1,4 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,Visual Consistency,static\css\page1.css,1,38 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\page1.css,1,12 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
LOW,Layering,static\css\page1.css,1,Very high z-index detected (99999).,"Create a standard z-index scale for dropdowns, sticky bars, dialogs and toasts."
MEDIUM,CSS Maintainability,static\css\page2.css,1,386 !important declarations found.,Reduce specificity conflicts before redesigning; establish reusable component classes and tokens.
MEDIUM,Visual Consistency,static\css\page2.css,1,85 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\page2.css,1,16 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
LOW,Layering,static\css\page2.css,1,Very high z-index detected (99999).,"Create a standard z-index scale for dropdowns, sticky bars, dialogs and toasts."
MEDIUM,CSS Maintainability,static\css\page3.css,1,14 !important declarations found.,Reduce specificity conflicts before redesigning; establish reusable component classes and tokens.
MEDIUM,Visual Consistency,static\css\page3.css,1,65 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\page3.css,1,18 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,Visual Consistency,static\css\page4.css,1,20 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\page4.css,1,5 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,CSS Maintainability,static\css\page5.css,1,85 !important declarations found.,Reduce specificity conflicts before redesigning; establish reusable component classes and tokens.
MEDIUM,Visual Consistency,static\css\page5.css,1,63 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\page5.css,1,20 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,CSS Maintainability,static\css\responsive.css,1,78 !important declarations found.,Reduce specificity conflicts before redesigning; establish reusable component classes and tokens.
LOW,Responsive UX,static\css\responsive.css,1,4 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,Visual Consistency,static\css\supervisor_dashboard.css,1,37 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\supervisor_dashboard.css,1,4 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
MEDIUM,Visual Consistency,static\css\user_management.css,1,54 distinct color values found.,"Consolidate colors into semantic design tokens such as primary, surface, border, text, success, warning and danger."
LOW,Responsive UX,static\css\user_management.css,1,5 hard-coded widths of 100px+ detected.,Review fixed widths during redesign; prefer grid/flex/minmax where the screen must adapt.
LOW,Interaction UX,static\js\hidden_backup.js,1,"3 alert, 0 confirm and 0 prompt calls detected.",Replace browser-native dialogs with one consistent MES confirmation/dialog component.
LOW,Interaction UX,static\js\page2.js,1,"5 alert, 0 confirm and 0 prompt calls detected.",Replace browser-native dialogs with one consistent MES confirmation/dialog component.
LOW,Interaction UX,static\js\page3.js,1,"4 alert, 1 confirm and 0 prompt calls detected.",Replace browser-native dialogs with one consistent MES confirmation/dialog component.
LOW,Frontend Maintainability,static\js\page3.js,1,47 innerHTML assignments detected.,"During redesign, consolidate repeated HTML construction into reusable render/component helpers."
LOW,Interaction UX,static\js\page5.js,1,"0 alert, 3 confirm and 0 prompt calls detected.",Replace browser-native dialogs with one consistent MES confirmation/dialog component.
LOW,Frontend Maintainability,static\js\page5.js,1,37 innerHTML assignments detected.,"During redesign, consolidate repeated HTML construction into reusable render/component helpers."
HIGH,Design System,GLOBAL,0,261 distinct CSS color values are used across the UI.,Create one global MES color-token system before page-by-page redesign.
MEDIUM,Typography,GLOBAL,0,37 distinct font-size declarations found.,"Reduce to a controlled typography scale for page title, section title, body, table, caption and KPI values."
LOW,Design System,GLOBAL,0,28 different border-radius values found.,"Standardize radius tokens for controls, cards, dialogs and badges."
HIGH,Forms,GLOBAL,0,75 form controls may rely on placeholder/context instead of a persistent label.,Adopt a common field component: label + control + optional hint/error. Do not use placeholders as field names.
